tconst,primaryTitle,title_fr,decade,release_date,production_country,genres,popularity,averageRating,class_vote,numVotes,runtimeMinutes,budget,revenue,overview,poster_url,backdrop_url,genres_stripped,1950s,1960s,1970s,1980s,1990s,FR,US,high votes,low votes,medium votes,Action,Adventure,Biography,Comedy,Crime,Drama,Fantasy,Film-Noir,History,Horror,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0043924,A Place in the Sun,Une place au soleil,1950s,12/06/1951,US,"['Drama', 'Romance']",10.894,7.7,high votes,23472,122,2300000,7000000,"Neveu pauvre d'un magnat de l'industrie, George Eastman est embauché en bas de l'échelle dans une usine de oncle. Malgré les règles strictes qui y règnent, il a une liaison avec une ouvrière qui se retrouve enceinte de lui. Il s'éprend par ailleurs d'une fille de la bonne société. L'épouser lui ouvrirait définitivement les portes d'un autre monde.",https://image.tmdb.org/t/p/w600_and_h900_bestv2/nB9x0aSyPZ5jMYKoffronlh8cyS.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ahiyCLIyFQ57xNuDQaxqQQ48X9u.jpg,"Drama,Romance",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0043972,The River,Le fleuve,1950s,10/09/1951,FR,"['Drama', 'Romance']",5.427,7.4,high votes,6524,99,0,0,"Sur les bords d'un grand fleuve indien vit une famille britannique. Les deux filles de la maison se lient d'amitié avec la fille de leur voisin, Melanie, née d'une mère hindoue. La venue du jeune capitaine John va troubler le cœur des jeunes filles. Mais ce dernier, souffrant d'une infirmité, refusera l'amour qui lui est offert.",https://image.tmdb.org/t/p/w600_and_h900_bestv2/8HlnxQ5nc0d5aNFBtzjpzJI0dBp.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/6Kbxbod1DxLk4lMBnkp2J49Ygva.jpg,"Drama,Romance",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0044223,You Never Can Tell,"Héritiers, strychnine et compagnie",1950s,23/09/1951,US,"['Comedy', 'Crime', 'Fantasy']",1.051,7.0,low votes,730,78,0,0,,https://image.tmdb.org/t/p/w600_and_h900_bestv2/gZW7g16PvRxbxMRnCQIrbgTTEr4.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/xGW06srLPoaqYrrGIUBFj3oZ4GS.jpg,"Comedy,Crime,Fantasy",1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
tt0044937,My Cousin Rachel,Ma cousine Rachel,1950s,25/12/1952,US,"['Drama', 'Mystery', 'Romance']",3.764,7.1,high votes,3128,98,0,0,"Lorsque son riche cousin Ambrose meurt dans des circonstances mystérieuses, Philip Ashley soupçonne sa nouvelle épouse, Rachel, de l'avoir empoisonné pour toucher sa fortune. Or le mobile du meurtre ne semble pas valable puisque c'est Philip qui hérite de son cousin. Philip, soupçonneux, cherche quand même à la demasquer mais lors de leur première rencontre il tombe immédiatement sous le charme de la veuve...",https://image.tmdb.org/t/p/w600_and_h900_bestv2/uthIqEE7FexG73uMypcw5SskSzk.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/tny9NXQGi84BeXuo6Ms1bN9icav.jpg,"Drama,Mystery,Romance",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
tt0045098,Rome 11:00,Onze heures sonnaient,1950s,27/02/1952,FR,['Drama'],2.991,7.8,low votes,789,107,0,0,,https://image.tmdb.org/t/p/w600_and_h900_bestv2/5kMpjBbV7jmyoXh8Zjw3l9MAB7.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/yuXN8X7Ix571hFGKvAonHw84r5f.jpg,Drama,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0045186,The Star,La Star,1950s,11/12/1952,US,"['Drama', 'Romance']",1.838,7.0,high votes,3878,89,0,0,,https://image.tmdb.org/t/p/w600_and_h900_bestv2/gvga2csMHbDYjSTIIFS0TArTurp.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/3wTCD9C7TGaMZPDR2KWkI0wiY9.jpg,"Drama,Romance",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0045888,House of Wax,L'Homme au masque de cire,1950s,16/04/1953,US,['Horror'],8.626,7.0,high votes,19004,88,658000,23800000,Londres 1921 : Le musée de cire classique d'un génial sculpteur est incendié par son associé véreux. Une dizaine d'années plus tard aux U.S.A. : le même sculpteur (atrocement brûlé et mutilé) rouvre un nouveau musée de cire consacré désormais au crime et aux supplices. Une jeune fille – sosie du chef-œuvre détruit de l'artiste – découvrira au péril de sa vie l'effroyable secret de « l'homme au masque de cire ».,https://image.tmdb.org/t/p/w600_and_h900_bestv2/rZq3o6NYWF6K2KrmpaZ1bcMU1yf.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/9QRJN7GaGIHwdkzDAilIrt1Nf4r.jpg,Horror,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0046303,Shane,L'Homme des vallées perdues,1950s,23/04/1953,US,"['Drama', 'Western']",14.306,7.6,high votes,42149,118,3100000,20000000,"Un cavalier solitaire aux allures mystérieuses, venant de nulle part, avance tranquillement dans une vallée encaissée. Un jeune garçon du nom de Joey observe avec inquiétude sa lente progression et s'en va prévenir ses parents, des fermiers dont la maison est toute proche. Marion et Joe Starrett vivent tant bien que mal du fruit de leur labeur, qu'ils arrachent avec difficulté d'un sol aride. L'homme, qui se fait appeler Shane, leur demande l'hospitalité. Assez vite, il se voit contraint de défendre de son mieux cette paisible famille de paysans contre les attaques d'une bande de hors-la-loi. Son courage provoque l'admiration de Joey et l'affection silencieuse et troublée de Marion...",https://image.tmdb.org/t/p/w600_and_h900_bestv2/sEtq07VhB4UHNGzYTAHrjx4Pctr.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/3hxnjFezi9kHPPqpHvK2E5JyvUr.jpg,"Drama,Western",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
tt0046429,The Adultress,Thérèse Raquin,1950s,06/11/1953,FR,"['Crime', 'Drama', 'Romance']",4.217,7.3,medium votes,1728,102,0,0,"Thérèse, jeune orpheline, épouse le fils souffreteux de ses parents adoptifs. Elle rencontre un jour Laurent, brave camionneur italien dont la gentillesse la séduit. Elle hésite par devoir a partir avec lui. Son mari et sa belle-mère, apprenant sa liaison, décident de l'emmener a Paris. Laurent, tente une nouvelle fois au cours du voyage de s'interposer...",https://image.tmdb.org/t/p/w600_and_h900_bestv2/oAu6c9Ex6ASTGC3dp4KjgLWvgKc.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/jdVIf5zInzinVXzkmpxOjcBqGcF.jpg,"Crime,Drama,Romance",1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
tt0046435,Titanic,Titanic (1953),1950s,11/04/1953,US,"['Drama', 'History', 'Romance']",15.009,7.0,high votes,7303,98,1805000,4905000,"Pour soustraire ses enfants Annette et Norman à l'influence de son mari dont elle est séparée, Julia Sturges décide de les emmener à bord du paquebot Titanic. Son mari Richard parvient à embarquer au dernier moment pour récupérer ses enfants. Ils rencontrent d'autres passagers comme Maud Young, une jeune femme fortement inspirée de Margaret Brown, Gifford Rogers, un jeune joueur de tennis qui tombe rapidement amoureux de la jeune Annette et George S. Headley, un prêtre suspendu pour alcoolisme.",https://image.tmdb.org/t/p/w600_and_h900_bestv2/tyUIFX3AtnUJK5EaBJ5fR8EnuvO.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/3oShsRvAyZiQQ5lP2hszWN9Ri0b.jpg,"Drama,History,Romance",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
