nconst,primaryName,birthYear,category,popularity,actor_image,knownForTitles,tconst_in_db
nm0149260,Alain Chabat,1958,actor,10.581,https://image.tmdb.org/t/p/w200//1BgLPWtOJ3Hxx1MZ7vdI5oxfL2L.jpg,"tt0118976,tt1667889,tt0250223,tt0354899",['tt0109440']
nm0152082,Damian Chapa,1963,actor,3.695,https://image.tmdb.org/t/p/w200//MAJFUqA0FP3wbRqMSw9ALEuSgP.jpg,"tt0105690,tt0106469,tt1811376,tt7627774",['tt0106469']
nm0152747,Corynne Charbit,1960,actress,0.987,https://image.tmdb.org/t/p/w200//qxoZSI5XeZiMQ8uLAQqDUEIZcAk.jpg,"tt0082183,tt0211574,tt0295557,tt0088320",['tt0082183']
nm0153493,Jacques Charrier,1936,actor,3.338,https://image.tmdb.org/t/p/w200//usnUxCQnjlmnJUNc1IQYE05tIb9.jpg,"tt0057657,tt0195436,tt0073149,tt0065138",['tt0052318']
nm0154707,Marie-Anne Chazel,1951,actress,3.662,https://image.tmdb.org/t/p/w200//iDfbfCk3uzlCaFypaIelkmIlhmi.jpg,"tt0077276,tt0078907,tt0084555,tt0108500","['tt0078907', 'tt0084555', 'tt0108500']"
nm0157796,Tsai Chin,1933,actress,2.753,https://image.tmdb.org/t/p/w200//7dMi1bbF2JphxBtqQX5YjDpwoOW.jpg,"tt0381061,tt0397535,tt0062512,tt9376612",['tt0107282']
nm0158135,Dorina Chiriac,1973,actress,1.4,https://image.tmdb.org/t/p/w200//9kar41s6cICJ8Bsw8hf7s5zCQkm.jpg,"tt0297213,tt0280653,tt0460452,tt0151479",['tt0151479']
nm0159129,Farid Chopel,1952,actor,1.96,https://image.tmdb.org/t/p/w200//rvRxRJo6bBT2vO6abg5e5YUpHvo.jpg,"tt0086852,tt0182613,tt1334288,tt0099283",['tt0093295']
nm0160550,Dennis Christopher,1955,actor,3.406,https://image.tmdb.org/t/p/w200//izYfd86mlERW5EtyNna4aKMXKOW.jpg,"tt1853728,tt0078902,tt0080711,tt0099864",['tt0078902']
nm0161765,Julien Ciamaca,1978,actor,1.89,https://image.tmdb.org/t/p/w200//4rOPFUa53Y9ilFugHpWm7votSA.jpg,"tt0375439,tt0099266,tt0099669",['tt0099266']
nm0162283,Diane Cilento,1932,actress,6.306,https://image.tmdb.org/t/p/w200//l1tWBdmuETjhMbrvdA4sngrkrUb.jpg,"tt0061770,tt0070917,tt0047830,tt0057590",['tt0061770']
nm0162502,Luís Miguel Cintra,1949,actor,0.7,https://image.tmdb.org/t/p/w200//cdFwM3XffJAarnt355yWCxMvEnH.jpg,"tt0118926,tt0476705,tt0100269,tt0793423",['tt0100269']
nm0162541,Charles Cioffi,1935,actor,3.813,https://image.tmdb.org/t/p/w200//tNnflWmSuSPjJzthbfkkrYZZmoo.jpg,"tt0104990,tt0067309,tt0080025,tt0067741","['tt0067309', 'tt0080025']"
nm0162948,Franco Citti,1935,actor,2.353,https://image.tmdb.org/t/p/w200//mttQPjOHaql4RKsfYriUA7HuROE.jpg,"tt0099674,tt0054599,tt0204186,tt0068646",['tt0065622']
nm0163250,Cyrielle Clair,1955,actress,5.062,https://image.tmdb.org/t/p/w200//n38kpROjrCZbSjZLZKPaJ1v7jwO.jpg,"tt0082949,tt0084750,tt0085226,tt1353090",['tt0082949']
nm0163429,Gordon Clapp,1948,actor,3.545,https://image.tmdb.org/t/p/w200//tUW2ksSHy10xWjW5dujPtJUxGmD.jpg,"tt0914387,tt0106079,tt2261391,tt0095082",['tt0095082']
nm0163748,Candy Clark,1947,actress,10.976,https://image.tmdb.org/t/p/w200//eDWbn53Q6vNECgOj68z8NymLv7D.jpg,"tt0069704,tt0443706,tt0074851,tt0085255",['tt0068575']
nm0164540,Susan Clark,1943,actress,6.104,https://image.tmdb.org/t/p/w200//d2nKGmTLi0wXw57xhzBZrcUSukE.jpg,"tt0071110,tt0084522,tt0085109,tt0062824",['tt0064177']
nm0166520,Edith Clever,1940,actress,1.4,https://image.tmdb.org/t/p/w200//hqQkQJ0bCuhjxH3OqYnTpaXP9LN.jpg,"tt0084476,tt0074870,tt0076316,tt0089659",['tt0074870']
nm0166537,Jenny Clève,1930,actress,1.589,https://image.tmdb.org/t/p/w200//kARTsNVnGqINNE6JN6WF1KmV4JI.jpg,"tt0080001,tt1064932,tt0104473,tt0086655",['tt0086655']
nm0166706,Marino Masé,1939,actor,2.105,https://image.tmdb.org/t/p/w200//1rd8gmQnjvYFXjnrfYEpuOZzYUB.jpg,"tt0082000,tt0099674,tt0057091,tt0283725",['tt0057323']
nm0167388,François Cluzet,1955,actor,7.459,https://image.tmdb.org/t/p/w200//f6PO7Lkrem1N4UmklxHro2k6Jto.jpg,"tt0362225,tt1675434,tt0113117,tt0098238","['tt0083925', 'tt0096336', 'tt0102583', 'tt0109731', 'tt0112386', 'tt0113362']"
nm0167467,Aurore Clément,1945,actress,2.905,https://image.tmdb.org/t/p/w200//2sRsiblJ59GI3k4AHrrOcdwJiLF.jpg,"tt0422720,tt0078788,tt0087884,tt2056771","['tt0075885', 'tt0076242']"
nm0167473,Coralie Clément,1956,actress,1.094,https://image.tmdb.org/t/p/w200//xEePxUIvovbMNm7UPqyQYNXVlaj.jpg,"tt0075939,tt0077689,tt0078549,tt0080728",['tt0080728']
nm0168262,Rory Cochrane,1972,actor,9.356,https://image.tmdb.org/t/p/w200//yBwm1RI4QCRXM0vkkDGVqdoiZLH.jpg,"tt12800524,tt4537896,tt5478478,tt1355683",['tt0106677']
nm0168892,Scott Coffey,1964,actor,5.133,https://image.tmdb.org/t/p/w200//pNnNXyFpJzawKX0G6DrOw6yEVWb.jpg,"tt0166924,tt0436262,tt1067765,tt4093826",['tt7763324']
nm0169565,Lynn Cohen,1933,actress,2.602,https://image.tmdb.org/t/p/w200//gF2YATtRwDbnLB5eG0DGeHFW2QM.jpg,"tt1951264,tt0107507,tt0408306,tt3203616",['tt0107507']
nm0171499,Grégoire Colin,1975,actor,4.05,https://image.tmdb.org/t/p/w200//1HLfq8oddSZYpwOVJFp8mkKQMAb.jpg,"tt2641648,tt0117221,tt0102583,tt2790230","['tt0120449', 'tt0120665', 'tt0209933']"
nm0171993,Dominique Maurin,1949,actor,1.96,https://image.tmdb.org/t/p/w200//sEJFsz9vMCljueHwpqVVpNfxa6k.jpg,"tt0095525,tt0048021,tt0424779,tt0266543",['tt0057842']
nm0173354,Coluche,1944,actor,3.659,https://image.tmdb.org/t/p/w200//jt3Pb213mNL1TmRTIzaXRoZoL5H.jpg,"tt0086420,tt0082726,tt0086989,tt0076897",['tt0086420']
nm0173399,Francesca Romana Coluzzi,1943,actress,4.651,https://image.tmdb.org/t/p/w200//8zSNPdTVJrQZxBUxdDDt8dHEmVt.jpg,"tt0067932,tt0384766,tt0068626,tt0089893",['tt0069369']
nm0173548,Jean-Paul Comart,1953,actor,2.656,https://image.tmdb.org/t/p/w200//7H5IFFrTFCmHFYhSCII0MCsf3RY.jpg,"tt1002920,tt9346596,tt0088637,tt0083611",['tt0104658']
nm0173644,Frederick Combs,1935,actor,1.102,https://image.tmdb.org/t/p/w200//iZmA4Hit1lsmNzLdofq36f9MuyD.jpg,"tt0058855,tt0065488,tt0081514,tt0054531",['tt0065488']
nm0173735,Anjanette Comer,1939,actress,3.736,https://image.tmdb.org/t/p/w200//cqlgkJVoR0KqIP3WwfgPKwmLzYl.jpg,"tt0062713,tt0060120,tt0069754,tt0059410",['tt0059410']
nm0174179,Oliver Conant,1955,actor,0.6,https://image.tmdb.org/t/p/w200//pYQY8LblR0XqwKGspOuU61k5GwP.jpg,"tt0439384,tt0067803,tt0069888",['tt0067803']
nm0175826,Jarlath Conroy,1944,actor,1.632,https://image.tmdb.org/t/p/w200//h1dpCoYDlAEKzovLavTvoVI4jFV.jpg,"tt1645080,tt0371257,tt1403865,tt0088993",['tt0088993']
nm0176035,George Constantin,1933,actor,1.073,https://image.tmdb.org/t/p/w200//s5ILG3EkpzwtgsfwsBe5y2tZWUh.jpg,"tt0174941,tt0063493,tt0068431,tt0183589",['tt0111546']
nm0177158,Lawrence Cook,1930,actor,1.917,https://image.tmdb.org/t/p/w200//hYwrWrMHa6dMrJtvBwJgPYRAjBQ.jpg,"tt0173990,tt0070726,tt0461552,tt0094894",['tt0070726']
nm0177639,Jennifer Coolidge,1961,actress,18.041,https://image.tmdb.org/t/p/w200//fU3MWqENdkD3Gkw59UtxB19cOD1.jpg,"tt0356470,tt0310281,tt0163651,tt9686790",['tt0163651']
nm0177933,Chris Cooper,1951,actor,11.763,https://image.tmdb.org/t/p/w200//sJKghcu9wRDIvKM0cI7kqNXYRfS.jpg,"tt0401997,tt1322269,tt0169547,tt0268126","['tt0093509', 'tt0116905']"
nm0179148,Glenn Corbett,1933,actor,3.092,https://image.tmdb.org/t/p/w200//eP1tCSppXS51gYysmVAFJvKliCF.jpg,"tt0065547,tt0054988,tt0060028,tt0052713",['tt0059711']
nm0179783,Isabelle Corey,1939,actress,3.605,https://image.tmdb.org/t/p/w200//iNKN0jLoBLrs0Pixb5ZxcNc5pLV.jpg,"tt0051000,tt0051664,tt0047892,tt0049189",['tt0047892']
nm0180454,Aurora Cornu,1931,actress,0.6,https://image.tmdb.org/t/p/w200//1KBVuv7mm7shmvUL90zJKXpiTWZ.jpg,"tt0068205,tt0065772",['tt0065772']
nm0182839,Marion Cotillard,1975,actress,18.893,https://image.tmdb.org/t/p/w200//zChwjQ9D90fxx6cgWz5mUWHNd5b.jpg,"tt0450188,tt2053425,tt2737050,tt1375666",['tt0152930']
nm0182842,Constantin Cotimanis,1955,actor,1.856,https://image.tmdb.org/t/p/w200//cDO4dodfVc1yxRgKPrEoz97N967.jpg,"tt10516484,tt0233656,tt0110153,tt0317042",['tt0115577']
nm0183553,Alice Coulthard,1983,actress,1.736,https://image.tmdb.org/t/p/w200//jQuGc6IvWOSCgjaiYrElVK58k9i.jpg,"tt4569878,tt2973402,tt2402207,tt0068069",['tt0106535']
nm0183822,Tom Courtenay,1937,actor,9.324,https://image.tmdb.org/t/p/w200//aZvsuIfTvaSKDDFYzgGWa8vQ4FU.jpg,"tt3544082,tt0056194,tt0309912,tt0059113","['tt0059358', 'tt0062038']"
nm0184080,Brian Cousins,1959,actor,2.2,https://image.tmdb.org/t/p/w200//zsjLRI0RSM8GVUP9iNKAtCT74OT.jpg,"tt0134269,tt0092455,tt1591493,tt0110153",['tt0100049']
nm0186225,Barbara Crampton,1958,actress,5.159,https://image.tmdb.org/t/p/w200//yXIEQiWM3hhgqmx2bJfRTp9341f.jpg,"tt0091083,tt0089885,tt1853739,tt3520418",['tt0089885']
nm0186569,Dani,1944,actress,1.313,https://image.tmdb.org/t/p/w200//qbRajtd887gsUpqPEbqjHAOKlTn.jpg,"tt0078771,tt0110171,tt0444112,tt0070460",['tt0078771']
nm0191944,Quinn Cummings,1967,actress,3.331,https://image.tmdb.org/t/p/w200//tA3GZAJRnzzlW5gCnmPUTk60pFB.jpg,"tt0076095,tt0073992,tt0083470,tt0080407",['tt0076095']
nm0193520,Tahnee Welch,1961,actress,16.506,https://image.tmdb.org/t/p/w200//htfVpV7K9NEYIRMAebBVzocOd9I.jpg,"tt0088933,tt0116594,tt0093993,tt0094890",['tt0125522']
nm0198241,Audrey Dalton,1934,actress,1.535,https://image.tmdb.org/t/p/w200//3C8ysXImywLJwRmDJ2NJ2TwzmY7.jpg,"tt0052182,tt0044937,tt0046435,tt0048517","['tt0044937', 'tt0046435']"
nm0198941,Mark Damon,1933,actor,4.504,https://image.tmdb.org/t/p/w200//nJQPcbhGIAhIFoKWtsRhweC98OV.jpg,"tt0340855,tt8114980,tt0053925,tt0331811",['tt0057603']
nm0199006,Linh-Dan Pham,1974,actress,2.809,https://image.tmdb.org/t/p/w200//y9EYVSaEgjBZLchxShXa45FTszf.jpg,"tt0411270,tt1186367,tt0485947,tt0104507",['tt0104507']
nm0199017,Fumi Dan,1954,actress,2.272,https://image.tmdb.org/t/p/w200//k3ER3dJ1ie8goxubMOdHaaHICTS.jpg,"tt0202672,tt0076162,tt0377341,tt0170181",['tt0181960']
nm0199774,Isa Danieli,1937,actress,2.141,https://image.tmdb.org/t/p/w200//xUETwTcqaEdc4jEO5JzZBxbrGsA.jpg,"tt0107225,tt0095765,tt0090871,tt0070061",['tt0095765']
nm0200599,Michael Dante,1931,actor,4.104,https://image.tmdb.org/t/p/w200//xqBf3P6QehcZ4oItkZYojzVOlfC.jpg,"tt0056138,tt0075432,tt0053441,tt0054295",['tt0058390']
nm0200758,Allen Danziger,1942,actor,1.568,https://image.tmdb.org/t/p/w200//wONEJ5KiiupyE0An7On0MPZXw8j.jpg,"tt19816262,tt0404011,tt0072271,tt11383000",['tt0072271']
nm0200848,Ingeborga Dapkunaite,1963,actress,7.575,https://image.tmdb.org/t/p/w200//epH5vef5Tm6b2VyU71KKCxw9tyd.jpg,"tt0367959,tt1186366,tt0120102,tt0117060",['tt0111579']
nm0200981,Kim Darby,1947,actress,10.72,https://image.tmdb.org/t/p/w200//D8PCEhMTbXQVsBDFFJTC5FPmFk.jpg,"tt0113253,tt0088794,tt0065126,tt0094118","['tt0065126', 'tt0088794']"
nm0201151,Florence Darel,1968,actress,3.504,https://image.tmdb.org/t/p/w200//uzAS55wo86DViezCbrv1jnzwXt9.jpg,"tt0100851,tt0167565,tt0182597,tt0097106","['tt0097106', 'tt0104663']"
nm0201239,Bobby Darin,1936,actor,1.556,https://image.tmdb.org/t/p/w200//2IsNBGiXSnPkxlj39zFXOknuJpu.jpg,"tt1355644,tt0054759,tt0056370,tt0056093",['tt0056370']
nm0201462,Gérard Darmon,1948,actor,2.683,https://image.tmdb.org/t/p/w200//nYup2VXH5zZunl0WoQFy1dTlu1s.jpg,"tt0281820,tt0100337,tt0250223,tt0090563","['tt0090563', 'tt0109440']"
